OS Benchmark experiment
Test Name:,6.1.0-26-amd64,
       ref          kbest:,0.000000021,
       ref        average:,0.000000024,
       cpu          kbest:,0.004511636,
       cpu        average:,0.004512525,
    getpid          kbest:,0.000000153,
    getpid        average:,0.000000158,
context siwtch          kbest:,0.000004878,
context siwtch        average:,0.000004941,
      send          kbest:,0.000000608,
      send        average:,0.000000796,
      recv          kbest:,0.000000582,
      recv        average:,0.000000916,
  big send          kbest:,0.000009650,
  big send        average:,0.000015186,
  big recv          kbest:,0.000011063,
  big recv        average:,0.000019848,
      fork          kbest:,0.000062137,
      fork       average:,0.000079340,
      fork    Child kbest:,0.000086841,
      fork Child average:,0.000105796,
thr create          kbest:,0.000009700,
thr create       average:,0.000014275,
thr create    Child kbest:,0.000013791,
thr create Child average:,0.000019820,
  big fork          kbest:,0.003413062,
  big fork       average:,0.003544718,
  big fork    Child kbest:,0.003452072,
  big fork Child average:,0.003599459,
 huge fork          kbest:,0.006811761,
 huge fork       average:,0.006955323,
 huge fork    Child kbest:,0.006870349,
 huge fork Child average:,0.007011508,
small write          kbest:,0.000000771,
small write        average:,0.000000819,
small read          kbest:,0.000000464,
small read        average:,0.000000524,
small mmap          kbest:,0.000001348,
small mmap        average:,0.000001578,
small munmap          kbest:,0.000002224,
small munmap        average:,0.000002657,
small page fault          kbest:,0.000001059,
small page fault        average:,0.000001117,
 mid write          kbest:,0.000004406,
 mid write        average:,0.000004621,
  mid read          kbest:,0.000002300,
  mid read        average:,0.000002448,
  mid mmap          kbest:,0.000001312,
  mid mmap        average:,0.000001535,
mid munmap          kbest:,0.000005319,
mid munmap        average:,0.000005727,
mid page fault          kbest:,0.000001821,
mid page fault        average:,0.000001921,
 big write          kbest:,0.000636211,
 big write        average:,0.000641725,
  big read          kbest:,0.000436929,
  big read        average:,0.000439655,
  big mmap          kbest:,0.000001263,
  big mmap        average:,0.000001481,
big munmap          kbest:,0.000139967,
big munmap        average:,0.000144768,
big page fault          kbest:,0.000002439,
big page fault        average:,0.000002600,
huge write          kbest:,0.009176091,
huge write        average:,0.009291379,
 huge read          kbest:,0.011147045,
 huge read        average:,0.011234288,
 huge mmap          kbest:,0.000001264,
 huge mmap        average:,0.000001522,
huge munmap          kbest:,0.001338064,
huge munmap        average:,0.001364030,
huge page fault          kbest:,0.000002430,
huge page fault        average:,0.000002618,
    select          kbest:,0.000000730,
    select        average:,0.000000847,
      poll          kbest:,0.000000554,
      poll        average:,0.000000598,
     epoll          kbest:,0.000001171,
     epoll        average:,0.000001356,
select big          kbest:,0.000070529,
select big        average:,0.000088267,
  poll big          kbest:,0.000070537,
  poll big        average:,0.000088263,
 epoll big          kbest:,0.000183272,
 epoll big        average:,0.000221428,
